uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
893327,mcheckimport,2574478,1252888,157370,3002,134367,2710,1401912893
452999,DarkSwan_Import,1166154,531219,70695,618,68930,618,1401826573
454589,sabas88,356911,261286,16912,85,7315,39,1400424195
118185,albertux,178910,117857,9619,50,5242,49,1398896321
1029236,sabas-import,166043,87170,8790,147,8383,147,1400493287
89932,matchman,129562,120736,2277,1,331,0,1313522376
478872,mcheck,106257,56985,7403,337,3954,51,1391592913
357986,Gianluca Saba,99352,52639,5898,1,4834,1,1387008048
337594,Catner,86683,66616,4555,2,1064,0,1370826731
576484,fabio virdis,72402,50460,2855,33,2147,33,1396549394
1327268,SalvatoreN,72270,42696,4235,1,2810,0,1383040036
35407,gigu,61759,57313,1360,10,46,0,1399125328
1797163,brandwaechter,58445,53828,1185,0,177,0,1389658246
607510,simone_girardelli,54487,48760,1837,0,36,0,1388687161
513221,_fabian_,53281,45067,1837,53,369,2,1388079617
1228342,CDaniela,52599,20919,3540,4,3500,4,1398619235
16881,ulil,51808,41473,1613,0,916,0,1309447692
223763,Patrick Bous,49799,41153,2428,2,224,0,1400250438
1096017,Fabiano Peddis,49739,21431,5179,11,2110,2,1400165756
512392,Basik71,48297,36051,3438,6,312,1,1399984647
560497,GiusoDazzi,45371,38345,2225,1,57,0,1325111958
961387,trekker48,42833,33527,1558,0,772,0,1400508153
497881,wimvandorst,41994,24900,2686,0,1506,0,1343682663
354284,sbiribizio,40768,34645,1516,5,254,1,1389084419
79682,Flaminius,40627,19903,2776,0,2066,0,1354216090
97922,damjang,37970,27455,2784,15,335,3,1399146444
361003,Cascafico,37847,16988,2827,2,2060,0,1386150420
24126,dforsi,37727,23264,2552,3,1129,1,1398792916
155936,palimpadum,35431,31537,1066,0,116,0,1382544186
226150,hotelsierra,34242,19839,1995,6,1388,6,1365422874
12448,Hartmut Holzgraefe,33430,19291,2005,0,1354,0,1386157077
42918,sco,33343,27163,1290,8,365,8,1399167030
35456,Signor_g,31249,27712,1115,0,32,0,1329356906
113316,Andria Tzedda,30894,17265,1824,7,1342,7,1401807538
156825,noromance,30018,24168,1108,4,413,2,1400871864
1842565,taz_atz_zat,29525,24998,1298,1,103,1,1399127753
35560,HeikoE,27290,19577,1779,184,120,0,1342446049
903739,Nocch,25625,21797,604,4,329,1,1400186593
71261,David Paleino,24304,23974,106,0,2,0,1332091931
559935,EdAllen,23890,18100,1091,1,417,1,1401913926
37693,Heinz,22128,16209,969,0,502,0,1334526144
1700,Diego Guidotti,21043,19582,463,0,12,0,1394146172
985046,sa_sa,19149,8820,1243,0,1100,0,1361028264
160229,Rattorosso,18963,14727,1300,18,29,0,1387631904
1164,dmgroom,17382,12690,1319,1,121,0,1225796311
112512,melkart,15592,9100,778,0,693,0,1396027805
62236,Paulchen Panther,15001,11467,910,2,130,1,1391789951
32744,Thomas Wagner,14969,13961,314,0,11,0,1349286619
1228339,Davide Massidda,13519,4744,1049,2,933,2,1398009543
124788,Maccy,13485,13104,127,0,0,0,1287498029
109705,gscholz,12694,10186,614,0,111,0,1347699809
562178,sirb75,12529,6790,943,0,485,0,1398754450
7464,Odiug,12403,8908,527,0,319,0,1385549879
948189,francesco56,11328,8985,361,0,210,0,1388434235
340764,Jemp,11207,4637,774,0,708,0,1389431768
110076,GPS-Marco,11071,9559,348,4,72,0,1343476463
287306,Matthias Frank,10953,8208,883,4,10,0,1388860559
1775455,l2212,10803,2889,506,266,402,265,1401911500
73209,Bernd68,9725,9716,3,0,0,0,1248603677
1987,niubii,9512,6848,503,1,191,0,1384949288
2058778,Andrea L,9228,5256,642,6,329,3,1401795187
224342,mircozorzo,9038,8621,119,0,10,0,1378241302
70161,ligamaister,9011,8456,145,0,20,0,1331917760
113023,glaucos,8776,8404,107,1,6,1,1334304115
79254,IlSinnaese,8703,7332,381,0,38,0,1307263889
872055,Gufo Niro,8581,5473,675,3,173,3,1349092881
628487,dmeloni,8355,5283,954,4,29,0,1338558030
599429,randomguy666,8288,6971,331,2,49,2,1382205458
123364,Tronikon,8283,6345,446,0,100,0,1338758488
1892020,brgr,8036,4739,506,7,280,6,1401914295
196617,venerdi,7830,5190,451,1,213,0,1400402214
185204,gilbomorris,7693,7000,213,0,9,0,1306395091
80088,FedericoCozzi,7491,7038,115,0,18,0,1311368360
1244499,Giuseppe Putzolu,7458,6588,244,0,23,0,1367954172
275822,difuori,7351,6592,209,0,22,0,1367166005
449569,Nautic,6905,4940,361,0,147,0,1388484757
69628,vsandre,6832,4474,346,0,220,0,1385237849
428160,Cirano80,6689,2834,431,0,427,0,1342702677
1036543,RobyMei,6668,3380,602,2,244,0,1376994929
69397,japa-fi,6618,4350,591,3,76,2,1379434187
6096,Geody,6357,5580,255,0,2,0,1308921006
55878,LST,6329,5597,146,0,49,0,1338935720
544675,Obelixx,6005,5849,36,0,8,0,1359574170
65798,Mich74,5929,2257,411,1,404,1,1385283818
88604,Hynz,5869,5653,66,0,3,0,1278435920
461682,Griphon,5784,4107,363,0,98,0,1385469396
202187,mikalaari,5743,4822,199,4,45,3,1401618381
37259,SteveVG,5708,3812,369,29,88,0,1384954191
557035,Baldorider,5374,3133,301,0,223,0,1376123582
663624,delporc,5330,4433,163,0,68,0,1387227448
541879,Kairok,5273,3098,493,2,113,0,1399913809
118455,fraq42,5219,2900,363,0,205,0,1378812389
26139,dieterdreist,5199,3153,341,9,156,1,1389972778
864,Niccolo,5184,5112,24,0,0,0,1242746185
1241581,frammm,5144,3014,437,5,124,5,1398169597
194751,Goffredo,4959,2472,448,31,144,0,1384995632
47882,Javier Sanchez,4881,4194,82,31,27,0,1345156534
922652,skipper51,4728,4617,33,0,2,0,1391542091
482167,GerGel,4686,1995,411,0,243,0,1378389821
937713,dagide,4593,2880,299,0,136,0,1373715950
1861493,brigan74,4552,2170,578,2,105,0,1395847817
1806004,Francesca F,4101,1374,303,0,303,0,1386774791
57872,ptityeti,3901,3646,85,0,0,0,1390168765
944876,jabecker,3856,2587,161,0,131,0,1401553835
39310,ktmrobert,3814,3784,10,0,0,0,1227377896
177015,Suidakra,3733,3646,29,0,0,0,1294351088
412390,MrWebber,3600,3057,177,0,2,0,1370890177
367681,humbach,3518,1610,258,0,189,0,1397685216
209668,Tizianos,3450,2829,181,0,13,0,1385255036
68842,noperante,3411,1236,653,0,36,0,1390141914
56501,Rudolf_H,3375,2889,122,0,20,0,1361926597
817803,marchixeddu,3329,2312,137,0,101,0,1346598934
90780,Verdy_p,3189,921,587,25,44,3,1394946769
117689,foxandpotatoes,3162,2433,209,2,14,0,1398521603
1294780,srad,3145,2737,112,0,12,0,1365976985
1476146,Alecs01,3067,1075,346,12,141,0,1401634261
9353,Schäuble Michele,3027,2823,52,0,8,0,1278708276
24966,alessioz,3027,2880,40,1,2,1,1309189249
330450,SkyOne,3018,1881,163,0,108,0,1384959297
82866,Hagebutte,2921,2636,69,0,13,0,1309626308
115612,tyr_asd,2919,1662,206,1,104,1,1386008038
45180,g0ldfish,2791,2542,72,1,4,0,1378310339
1856709,Alessandro Merella,2747,1637,353,1,7,0,1396996164
342705,KonB,2711,2147,138,0,25,0,1330038883
513851,djeu_fd,2672,1301,251,0,103,0,1377007511
92408,kilt,2589,2004,119,0,38,0,1333006753
1436933,tanieiz,2578,1480,139,1,111,1,1369682752
1994712,Pinguigi,2551,2134,93,0,23,0,1397230292
89271,estela,2519,1871,156,0,30,0,1249947240
15891,farlokko,2495,1790,153,0,41,0,1342536944
1947948,Sebino73,2480,2294,60,0,1,0,1399979762
1005013,Gigius911,2452,1921,175,0,1,0,1351438700
2318,Latze,2439,1458,109,0,109,0,1340964102
160560,gunnar1m,2411,1259,274,0,55,0,1366990367
3062,wollschaf,2398,2320,26,0,0,0,1307566980
1918184,Davide D,2396,1034,230,0,112,0,1391697834
534156,Pierpaz,2364,1494,220,0,35,0,1333991590
74437,Mike FABIAN,2330,1640,110,0,60,0,1327100882
113669,AnyFile,2274,1167,128,43,56,0,1396301247
109925,WanMil,2247,1401,236,10,7,1,1356809670
1311287,JosClag,2243,2120,33,0,4,0,1372517433
285692,halfd,2236,967,183,0,120,0,1386343327
48400,ultramoto,2168,2120,16,0,0,0,1245148690
271307,Tavernsenses,2163,1653,114,2,23,2,1389251147
1817336,kiro68,2145,1653,144,0,10,0,1398426561
90746,sport_rob,2123,1220,159,0,71,0,1370684272
131835,DarkFlash,2117,1835,28,6,18,6,1328555952
542300,Ircama,2108,1421,110,1,57,1,1373921841
48185,Hans Loderer,2042,1694,82,0,17,0,1369564277
1717520,steo1971,2032,1933,33,0,0,0,1377695054
51179,Samuele Battarra,2017,1396,155,0,26,0,1385156243
322785,BCNorwich,2008,331,250,9,132,9,1400092939
1950651,sagredo,1941,1806,45,0,0,0,1398875366
38255,BearT,1936,1603,80,1,14,0,1378275770
70280,Dong Huan,1920,1854,14,0,4,0,1282601905
